out_msg=None: in_msg=[src=0, dest=10, size=2, addr=4736, type=GET_INSTR]: delay=0
out_msg=[src=6, dest=0, size=5, addr=131456, type=DATA]: in_msg=[src=0, dest=60, size=2, addr=364288, type=GET_INSTR]: delay=18
out_msg=[src=0, dest=60, size=2, addr=364288, type=GET_INSTR]: in_msg=[src=60, dest=0, size=5, addr=364288, type=DATA]: delay=72
out_msg=[src=60, dest=0, size=5, addr=364288, type=DATA]: in_msg=[src=0, dest=57, size=2, addr=1846848, type=GETS]: delay=6
out_msg=[src=0, dest=57, size=2, addr=1846848, type=GETS]: in_msg=[src=57, dest=56, size=2, addr=1846848, type=GETS]: delay=4
out_msg=[src=57, dest=56, size=2, addr=1846848, type=GETS]: in_msg=[src=56, dest=57, size=5, addr=1846848, type=MEMORY_DATA]: delay=65
out_msg=[src=56, dest=57, size=5, addr=1846848, type=MEMORY_DATA]: in_msg=[src=57, dest=0, size=5, addr=1846848, type=DATA_EXCLUSIVE]: delay=3
out_msg=[src=57, dest=0, size=5, addr=1846848, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=57, size=2, addr=1846848, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=57, dest=0, size=5, addr=1846848, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=53, size=2, addr=1838400, type=GETX]: delay=10
out_msg=[src=0, dest=53, size=2, addr=1838400, type=GETX]: in_msg=[src=53, dest=52, size=2, addr=1838400, type=GETS]: delay=4
out_msg=[src=53, dest=52, size=2, addr=1838400, type=GETS]: in_msg=[src=52, dest=53, size=5, addr=1838400, type=MEMORY_DATA]: delay=65
out_msg=[src=52, dest=53, size=5, addr=1838400, type=MEMORY_DATA]: in_msg=[src=53, dest=0, size=5, addr=1838400, type=DATA]: delay=3
out_msg=[src=53, dest=0, size=5, addr=1838400, type=DATA]: in_msg=[src=0, dest=53, size=2, addr=1838400, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=53, dest=0, size=5, addr=1838400, type=DATA]: in_msg=[src=0, dest=61, size=2, addr=364352, type=GET_INSTR]: delay=26
out_msg=[src=0, dest=61, size=2, addr=364352, type=GET_INSTR]: in_msg=[src=61, dest=0, size=5, addr=364352, type=DATA]: delay=72
out_msg=[src=61, dest=0, size=5, addr=364352, type=DATA]: in_msg=[src=0, dest=14, size=2, addr=1127296, type=GETS]: delay=6
out_msg=[src=0, dest=14, size=2, addr=1127296, type=GETS]: in_msg=[src=14, dest=15, size=2, addr=1127296, type=GETS]: delay=4
