out_msg=[src=56, dest=58, size=5, addr=523904, type=MEMORY_DATA, fixed=src]: in_msg=[src=58, dest=0, size=5, addr=523904, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=58, dest=0, size=5, addr=523904, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=58, size=2, addr=523904, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=58, dest=0, size=5, addr=523904, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=2, size=2, addr=426112, type=GET_INSTR, fixed=None]: delay=8
out_msg=[src=0, dest=2, size=2, addr=426112, type=GET_INSTR, fixed=None]: in_msg=[src=2, dest=0, size=2, addr=426112, type=GETS, fixed=des]: delay=4
out_msg=[src=2, dest=0, size=2, addr=426112, type=GETS, fixed=des]: in_msg=[src=0, dest=2, size=5, addr=426112, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=2, size=5, addr=426112, type=MEMORY_DATA, fixed=src]: in_msg=[src=2, dest=0, size=5, addr=426112, type=DATA, fixed=None]: delay=3
out_msg=[src=2, dest=0, size=5, addr=426112, type=DATA, fixed=None]: in_msg=[src=0, dest=44, size=2, addr=527104, type=GETX, fixed=None]: delay=6
out_msg=[src=0, dest=44, size=2, addr=527104, type=GETX, fixed=None]: in_msg=[src=44, dest=63, size=2, addr=527104, type=GETS, fixed=des]: delay=4
out_msg=[src=44, dest=63, size=2, addr=527104, type=GETS, fixed=des]: in_msg=[src=63, dest=44, size=5, addr=527104, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=44, size=5, addr=527104, type=MEMORY_DATA, fixed=src]: in_msg=[src=44, dest=0, size=5, addr=527104, type=DATA, fixed=None]: delay=3
out_msg=[src=44, dest=0, size=5, addr=527104, type=DATA, fixed=None]: in_msg=[src=0, dest=44, size=2, addr=527104, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=44, dest=0, size=5, addr=527104, type=DATA, fixed=None]: in_msg=[src=0, dest=3, size=2, addr=426176, type=GET_INSTR, fixed=None]: delay=40
out_msg=[src=0, dest=3, size=2, addr=426176, type=GET_INSTR, fixed=None]: in_msg=[src=3, dest=0, size=2, addr=426176, type=GETS, fixed=des]: delay=4
out_msg=[src=3, dest=0, size=2, addr=426176, type=GETS, fixed=des]: in_msg=[src=0, dest=3, size=5, addr=426176, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=3, size=5, addr=426176, type=MEMORY_DATA, fixed=src]: in_msg=[src=3, dest=0, size=5, addr=426176, type=DATA, fixed=None]: delay=3
out_msg=[src=3, dest=0, size=5, addr=426176, type=DATA, fixed=None]: in_msg=[src=0, dest=46, size=2, addr=527232, type=GETX, fixed=None]: delay=10
out_msg=[src=0, dest=46, size=2, addr=527232, type=GETX, fixed=None]: in_msg=[src=46, dest=63, size=2, addr=527232, type=GETS, fixed=des]: delay=4
out_msg=[src=46, dest=63, size=2, addr=527232, type=GETS, fixed=des]: in_msg=[src=63, dest=46, size=5, addr=527232, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=46, size=5, addr=527232, type=MEMORY_DATA, fixed=src]: in_msg=[src=46, dest=0, size=5, addr=527232, type=DATA, fixed=None]: delay=3
out_msg=[src=46, dest=0, size=5, addr=527232, type=DATA, fixed=None]: in_msg=[src=0, dest=46, size=2, addr=527232, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=46, dest=0, size=5, addr=527232, type=DATA, fixed=None]: in_msg=[src=0, dest=45, size=2, addr=527168, type=GETX, fixed=None]: delay=24
out_msg=[src=0, dest=45, size=2, addr=527168, type=GETX, fixed=None]: in_msg=[src=45, dest=63, size=2, addr=527168, type=GETS, fixed=des]: delay=4
out_msg=[src=45, dest=63, size=2, addr=527168, type=GETS, fixed=des]: in_msg=[src=63, dest=45, size=5, addr=527168, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=45, size=5, addr=527168, type=MEMORY_DATA, fixed=src]: in_msg=[src=45, dest=0, size=5, addr=527168, type=DATA, fixed=None]: delay=3
out_msg=[src=45, dest=0, size=5, addr=527168, type=DATA, fixed=None]: in_msg=[src=0, dest=45, size=2, addr=527168, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=45, dest=0, size=5, addr=527168, type=DATA, fixed=None]: in_msg=[src=0, dest=4, size=2, addr=426240, type=GET_INSTR, fixed=None]: delay=44
out_msg=[src=0, dest=4, size=2, addr=426240, type=GET_INSTR, fixed=None]: in_msg=[src=4, dest=7, size=2, addr=426240, type=GETS, fixed=des]: delay=4
out_msg=[src=4, dest=7, size=2, addr=426240, type=GETS, fixed=des]: in_msg=[src=7, dest=4, size=5, addr=426240, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=4, size=5, addr=426240, type=MEMORY_DATA, fixed=src]: in_msg=[src=4, dest=0, size=5, addr=426240, type=DATA, fixed=None]: delay=3
out_msg=[src=4, dest=0, size=5, addr=426240, type=DATA, fixed=None]: in_msg=[src=0, dest=23, size=2, addr=427456, type=GET_INSTR, fixed=None]: delay=14
out_msg=[src=0, dest=23, size=2, addr=427456, type=GET_INSTR, fixed=None]: in_msg=[src=23, dest=7, size=2, addr=427456, type=GETS, fixed=des]: delay=4
out_msg=[src=23, dest=7, size=2, addr=427456, type=GETS, fixed=des]: in_msg=[src=7, dest=23, size=5, addr=427456, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=23, size=5, addr=427456, type=MEMORY_DATA, fixed=src]: in_msg=[src=23, dest=0, size=5, addr=427456, type=DATA, fixed=None]: delay=3
out_msg=[src=23, dest=0, size=5, addr=427456, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=527744, type=GETX, fixed=None]: delay=26
out_msg=[src=0, dest=54, size=2, addr=527744, type=GETX, fixed=None]: in_msg=[src=54, dest=63, size=2, addr=527744, type=GETS, fixed=des]: delay=4
out_msg=[src=54, dest=63, size=2, addr=527744, type=GETS, fixed=des]: in_msg=[src=63, dest=54, size=5, addr=527744, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=54, size=5, addr=527744, type=MEMORY_DATA, fixed=src]: in_msg=[src=54, dest=0, size=5, addr=527744, type=DATA, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=527744, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=527744, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=527744, type=DATA, fixed=None]: in_msg=[src=0, dest=59, size=2, addr=523968, type=GETS, fixed=None]: delay=30
out_msg=[src=0, dest=59, size=2, addr=523968, type=GETS, fixed=None]: in_msg=[src=59, dest=56, size=2, addr=523968, type=GETS, fixed=des]: delay=4
out_msg=[src=59, dest=56, size=2, addr=523968, type=GETS, fixed=des]: in_msg=[src=56, dest=59, size=5, addr=523968, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=59, size=5, addr=523968, type=MEMORY_DATA, fixed=src]: in_msg=[src=59, dest=0, size=5, addr=523968, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=59, dest=0, size=5, addr=523968, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=59, size=2, addr=523968, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=59, dest=0, size=5, addr=523968, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=60, size=2, addr=524032, type=GETS, fixed=None]: delay=84
out_msg=[src=0, dest=60, size=2, addr=524032, type=GETS, fixed=None]: in_msg=[src=60, dest=63, size=2, addr=524032, type=GETS, fixed=des]: delay=4
out_msg=[src=60, dest=63, size=2, addr=524032, type=GETS, fixed=des]: in_msg=[src=63, dest=60, size=5, addr=524032, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=60, size=5, addr=524032, type=MEMORY_DATA, fixed=src]: in_msg=[src=60, dest=0, size=5, addr=524032, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=60, dest=0, size=5, addr=524032, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=60, size=2, addr=524032, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=60, dest=0, size=5, addr=524032, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=47, size=2, addr=527296, type=GETX, fixed=None]: delay=38
out_msg=[src=0, dest=47, size=2, addr=527296, type=GETX, fixed=None]: in_msg=[src=47, dest=63, size=2, addr=527296, type=GETS, fixed=des]: delay=4
out_msg=[src=47, dest=63, size=2, addr=527296, type=GETS, fixed=des]: in_msg=[src=63, dest=47, size=5, addr=527296, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=47, size=5, addr=527296, type=MEMORY_DATA, fixed=src]: in_msg=[src=47, dest=0, size=5, addr=527296, type=DATA, fixed=None]: delay=3
out_msg=[src=47, dest=0, size=5, addr=527296, type=DATA, fixed=None]: in_msg=[src=0, dest=47, size=2, addr=527296, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=47, dest=0, size=5, addr=527296, type=DATA, fixed=None]: in_msg=[src=0, dest=61, size=2, addr=524096, type=GETS, fixed=None]: delay=50
out_msg=[src=0, dest=61, size=2, addr=524096, type=GETS, fixed=None]: in_msg=[src=61, dest=63, size=2, addr=524096, type=GETS, fixed=des]: delay=4
out_msg=[src=61, dest=63, size=2, addr=524096, type=GETS, fixed=des]: in_msg=[src=63, dest=61, size=5, addr=524096, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=61, size=5, addr=524096, type=MEMORY_DATA, fixed=src]: in_msg=[src=61, dest=0, size=5, addr=524096, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=61, dest=0, size=5, addr=524096, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=61, size=2, addr=524096, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=61, dest=0, size=5, addr=524096, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=49, size=2, addr=527424, type=GETX, fixed=None]: delay=76
out_msg=[src=0, dest=49, size=2, addr=527424, type=GETX, fixed=None]: in_msg=[src=49, dest=56, size=2, addr=527424, type=GETS, fixed=des]: delay=4
