out_msg=[src=0, dest=54, size=2, addr=273792, type=GETX]: in_msg=[src=54, dest=0, size=5, addr=273792, type=DATA]: delay=72
out_msg=[src=54, dest=0, size=5, addr=273792, type=DATA]: in_msg=[src=0, dest=54, size=2, addr=273792, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=54, dest=0, size=5, addr=273792, type=DATA]: in_msg=[src=0, dest=59, size=2, addr=270016, type=GETS]: delay=30
out_msg=[src=0, dest=59, size=2, addr=270016, type=GETS]: in_msg=[src=59, dest=0, size=5, addr=270016, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=59, dest=0, size=5, addr=270016, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=59, size=2, addr=270016, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=59, dest=0, size=5, addr=270016, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=60, size=2, addr=270080, type=GETS]: delay=84
out_msg=[src=0, dest=60, size=2, addr=270080, type=GETS]: in_msg=[src=60, dest=0, size=5, addr=270080, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=60, dest=0, size=5, addr=270080, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=60, size=2, addr=270080, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=60, dest=0, size=5, addr=270080, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=47, size=2, addr=273344, type=GETX]: delay=38
out_msg=[src=0, dest=47, size=2, addr=273344, type=GETX]: in_msg=[src=47, dest=0, size=5, addr=273344, type=DATA]: delay=72
out_msg=[src=47, dest=0, size=5, addr=273344, type=DATA]: in_msg=[src=0, dest=47, size=2, addr=273344, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=47, dest=0, size=5, addr=273344, type=DATA]: in_msg=[src=0, dest=61, size=2, addr=270144, type=GETS]: delay=50
out_msg=[src=0, dest=61, size=2, addr=270144, type=GETS]: in_msg=[src=61, dest=0, size=5, addr=270144, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=61, dest=0, size=5, addr=270144, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=61, size=2, addr=270144, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=61, dest=0, size=5, addr=270144, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=49, size=2, addr=273472, type=GETX]: delay=76
out_msg=[src=0, dest=49, size=2, addr=273472, type=GETX]: in_msg=[src=49, dest=0, size=5, addr=273472, type=DATA]: delay=72
out_msg=[src=49, dest=0, size=5, addr=273472, type=DATA]: in_msg=[src=0, dest=49, size=2, addr=273472, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=49, dest=0, size=5, addr=273472, type=DATA]: in_msg=[src=0, dest=62, size=2, addr=270208, type=GETS]: delay=48
out_msg=[src=0, dest=62, size=2, addr=270208, type=GETS]: in_msg=[src=62, dest=0, size=5, addr=270208, type=DATA_EXCLUSIVE]: delay=72
