out_msg=[src=56, dest=58, size=5, addr=265856, type=MEMORY_DATA, fixed=src]: in_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=58, size=2, addr=265856, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=58, dest=0, size=5, addr=265856, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=2, size=2, addr=168064, type=GET_INSTR, fixed=None]: delay=8
out_msg=[src=0, dest=2, size=2, addr=168064, type=GET_INSTR, fixed=None]: in_msg=[src=2, dest=0, size=2, addr=168064, type=GETS, fixed=des]: delay=4
out_msg=[src=2, dest=0, size=2, addr=168064, type=GETS, fixed=des]: in_msg=[src=0, dest=2, size=5, addr=168064, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=2, size=5, addr=168064, type=MEMORY_DATA, fixed=src]: in_msg=[src=2, dest=0, size=5, addr=168064, type=DATA, fixed=None]: delay=3
out_msg=[src=2, dest=0, size=5, addr=168064, type=DATA, fixed=None]: in_msg=[src=0, dest=44, size=2, addr=269056, type=GETX, fixed=None]: delay=6
out_msg=[src=0, dest=44, size=2, addr=269056, type=GETX, fixed=None]: in_msg=[src=44, dest=63, size=2, addr=269056, type=GETS, fixed=des]: delay=4
out_msg=[src=44, dest=63, size=2, addr=269056, type=GETS, fixed=des]: in_msg=[src=63, dest=44, size=5, addr=269056, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=44, size=5, addr=269056, type=MEMORY_DATA, fixed=src]: in_msg=[src=44, dest=0, size=5, addr=269056, type=DATA, fixed=None]: delay=3
out_msg=[src=44, dest=0, size=5, addr=269056, type=DATA, fixed=None]: in_msg=[src=0, dest=44, size=2, addr=269056, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=44, dest=0, size=5, addr=269056, type=DATA, fixed=None]: in_msg=[src=0, dest=3, size=2, addr=168128, type=GET_INSTR, fixed=None]: delay=40
out_msg=[src=0, dest=3, size=2, addr=168128, type=GET_INSTR, fixed=None]: in_msg=[src=3, dest=0, size=2, addr=168128, type=GETS, fixed=des]: delay=4
out_msg=[src=3, dest=0, size=2, addr=168128, type=GETS, fixed=des]: in_msg=[src=0, dest=3, size=5, addr=168128, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=3, size=5, addr=168128, type=MEMORY_DATA, fixed=src]: in_msg=[src=3, dest=0, size=5, addr=168128, type=DATA, fixed=None]: delay=3
out_msg=[src=3, dest=0, size=5, addr=168128, type=DATA, fixed=None]: in_msg=[src=0, dest=46, size=2, addr=269184, type=GETX, fixed=None]: delay=10
out_msg=[src=0, dest=46, size=2, addr=269184, type=GETX, fixed=None]: in_msg=[src=46, dest=63, size=2, addr=269184, type=GETS, fixed=des]: delay=4
out_msg=[src=46, dest=63, size=2, addr=269184, type=GETS, fixed=des]: in_msg=[src=63, dest=46, size=5, addr=269184, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=46, size=5, addr=269184, type=MEMORY_DATA, fixed=src]: in_msg=[src=46, dest=0, size=5, addr=269184, type=DATA, fixed=None]: delay=3
out_msg=[src=46, dest=0, size=5, addr=269184, type=DATA, fixed=None]: in_msg=[src=0, dest=46, size=2, addr=269184, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=46, dest=0, size=5, addr=269184, type=DATA, fixed=None]: in_msg=[src=0, dest=45, size=2, addr=269120, type=GETX, fixed=None]: delay=24
out_msg=[src=0, dest=45, size=2, addr=269120, type=GETX, fixed=None]: in_msg=[src=45, dest=63, size=2, addr=269120, type=GETS, fixed=des]: delay=4
out_msg=[src=45, dest=63, size=2, addr=269120, type=GETS, fixed=des]: in_msg=[src=63, dest=45, size=5, addr=269120, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=45, size=5, addr=269120, type=MEMORY_DATA, fixed=src]: in_msg=[src=45, dest=0, size=5, addr=269120, type=DATA, fixed=None]: delay=3
out_msg=[src=45, dest=0, size=5, addr=269120, type=DATA, fixed=None]: in_msg=[src=0, dest=45, size=2, addr=269120, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=45, dest=0, size=5, addr=269120, type=DATA, fixed=None]: in_msg=[src=0, dest=4, size=2, addr=168192, type=GET_INSTR, fixed=None]: delay=44
out_msg=[src=0, dest=4, size=2, addr=168192, type=GET_INSTR, fixed=None]: in_msg=[src=4, dest=7, size=2, addr=168192, type=GETS, fixed=des]: delay=4
out_msg=[src=4, dest=7, size=2, addr=168192, type=GETS, fixed=des]: in_msg=[src=7, dest=4, size=5, addr=168192, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=4, size=5, addr=168192, type=MEMORY_DATA, fixed=src]: in_msg=[src=4, dest=0, size=5, addr=168192, type=DATA, fixed=None]: delay=3
out_msg=[src=4, dest=0, size=5, addr=168192, type=DATA, fixed=None]: in_msg=[src=0, dest=23, size=2, addr=169408, type=GET_INSTR, fixed=None]: delay=14
out_msg=[src=0, dest=23, size=2, addr=169408, type=GET_INSTR, fixed=None]: in_msg=[src=23, dest=7, size=2, addr=169408, type=GETS, fixed=des]: delay=4
out_msg=[src=23, dest=7, size=2, addr=169408, type=GETS, fixed=des]: in_msg=[src=7, dest=23, size=5, addr=169408, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=7, dest=23, size=5, addr=169408, type=MEMORY_DATA, fixed=src]: in_msg=[src=23, dest=0, size=5, addr=169408, type=DATA, fixed=None]: delay=3
out_msg=[src=23, dest=0, size=5, addr=169408, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=269696, type=GETX, fixed=None]: delay=26
out_msg=[src=0, dest=54, size=2, addr=269696, type=GETX, fixed=None]: in_msg=[src=54, dest=63, size=2, addr=269696, type=GETS, fixed=des]: delay=4
out_msg=[src=54, dest=63, size=2, addr=269696, type=GETS, fixed=des]: in_msg=[src=63, dest=54, size=5, addr=269696, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=54, size=5, addr=269696, type=MEMORY_DATA, fixed=src]: in_msg=[src=54, dest=0, size=5, addr=269696, type=DATA, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=269696, type=DATA, fixed=None]: in_msg=[src=0, dest=54, size=2, addr=269696, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=54, dest=0, size=5, addr=269696, type=DATA, fixed=None]: in_msg=[src=0, dest=59, size=2, addr=265920, type=GETS, fixed=None]: delay=30
out_msg=[src=0, dest=59, size=2, addr=265920, type=GETS, fixed=None]: in_msg=[src=59, dest=56, size=2, addr=265920, type=GETS, fixed=des]: delay=4
out_msg=[src=59, dest=56, size=2, addr=265920, type=GETS, fixed=des]: in_msg=[src=56, dest=59, size=5, addr=265920, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=56, dest=59, size=5, addr=265920, type=MEMORY_DATA, fixed=src]: in_msg=[src=59, dest=0, size=5, addr=265920, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=59, dest=0, size=5, addr=265920, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=59, size=2, addr=265920, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=59, dest=0, size=5, addr=265920, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=60, size=2, addr=265984, type=GETS, fixed=None]: delay=84
out_msg=[src=0, dest=60, size=2, addr=265984, type=GETS, fixed=None]: in_msg=[src=60, dest=63, size=2, addr=265984, type=GETS, fixed=des]: delay=4
out_msg=[src=60, dest=63, size=2, addr=265984, type=GETS, fixed=des]: in_msg=[src=63, dest=60, size=5, addr=265984, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=60, size=5, addr=265984, type=MEMORY_DATA, fixed=src]: in_msg=[src=60, dest=0, size=5, addr=265984, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=60, dest=0, size=5, addr=265984, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=60, size=2, addr=265984, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=60, dest=0, size=5, addr=265984, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=47, size=2, addr=269248, type=GETX, fixed=None]: delay=38
out_msg=[src=0, dest=47, size=2, addr=269248, type=GETX, fixed=None]: in_msg=[src=47, dest=63, size=2, addr=269248, type=GETS, fixed=des]: delay=4
out_msg=[src=47, dest=63, size=2, addr=269248, type=GETS, fixed=des]: in_msg=[src=63, dest=47, size=5, addr=269248, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=63, dest=47, size=5, addr=269248, type=MEMORY_DATA, fixed=src]: in_msg=[src=47, dest=0, size=5, addr=269248, type=DATA, fixed=None]: delay=3
out_msg=[src=47, dest=0, size=5, addr=269248, type=DATA, fixed=None]: in_msg=[src=0, dest=47, size=2, addr=269248, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=47, dest=0, size=5, addr=269248, type=DATA, fixed=None]: in_msg=[src=0, dest=61, size=2, addr=266048, type=GETS, fixed=None]: delay=50
out_msg=[src=0, dest=61, size=2, addr=266048, type=GETS, fixed=None]: in_msg=[src=61, dest=63, size=2, addr=266048, type=GETS, fixed=des]: delay=4
